TagName,TagValue,TagQuality
ER_GEN_U.STN.MW.BND5,-0.000002,0
ER_GEN_U.STN.MW.SND1,-0.000007,0
ER_GEN_U.STN.MW.SND2,-0.000007,0
ER_GEN_U.STN.MW.SND3,-0.000007,0
ER_GEN_U.STN.MW.SND4,0,0
ER_GEN_U.STN.MW.KLG1,-0.000002,0
ER_GEN_U.STN.MW.KLG2,-0.000005,0
ER_GEN_U.STN.MW.KLG3,-0.000002,0
ER_GEN_U.STN.MW.KLG4,159.582138,0
ER_GEN_U.STN.MW.KLG5,173.458847,0
ER_GEN_U.STN.MW.KLG6,202.301117,0
ER_GEN_U.STN.MW.BKS1,-9.167222,1
ER_GEN_U.STN.MW.BKS2,-15.4605,1
ER_GEN_U.STN.MW.BKS3,-16.684204,1
ER_GEN_U.STN.MW.DPL1,#N/A,0
ER_GEN_U.STN.MW.DPL2,0,0
ER_GEN_U.STN.MW.DPL3,0,0
ER_GEN_U.STN.MW.DPL4,0,0
ER_GEN_U.STN.MW.DPL5,0,0
ER_GEN_U.STN.MW.DPL6,2.024333,0
ER_IR_EX.STN.MW.SAN-SAB,#N/A,0
ER_IR_EX.STN.MW.PUS-SHP1,#N/A,0
ER_IR_EX.STN.MW.PUS-SHP2,#N/A,0
ER_IR_EX.STN.MW.RPR-RKL1,#N/A,0
ER_IR_EX.STN.MW.STRL-RKL2,#N/A,0
ER_IR_EX.STN.MW.KRB-BPD1,#N/A,0
ER_IR_EX.STN.MW.KRB-BPD2,#N/A,0
ER_IR_EX.STN.MW.KRB-BPD3,#N/A,0
ER_IR_EX.STN.MW.TAL-KRP1,#N/A,0
ER_IR_EX.STN.MW.TAL-KRP2,#N/A,0
ER_IR_EX.STN.MW.GZB-GZN,#N/A,0
ER_IR_EX.STN.MW.BMA-USIL,#N/A,0
ER_IR_EX.STN.MW.BRP-SAL1,#N/A,0
ER_IR_EX.STN.MW.BRP-SAL2,#N/A,0
ER_IR_EX.STN.MW.BGG-MLD,#N/A,0
ER_IR_EX.STN.MW.BRD-NJP1,#N/A,0
ER_IR_EX.STN.MW.BRD-NJP2,#N/A,0
ER_IR_EX.STN.MW.RGL-RGP1,#N/A,0
ER_IR_EX.STN.MW.RGL-RGP2,#N/A,0
ER_IR_EX.STN.MW.TAL-TSP1,#N/A,0
ER_IR_EX.STN.MW.TAL-TSP2,#N/A,0
ER_IR_EX.STN.MW.RGL-TSP,#N/A,0
ER_IR_EX.STN.MW.TRK-RKL1,#N/A,0
ER_IR_EX.STN.MW.TRK-RKL2,#N/A,0
ER_IR_EX.STN.MW.JSR-RCP1,#N/A,0
ER_IR_EX.STN.MW.JSR-RCP2,#N/A,0
ER_IR_EX.STN.MW.BSG-BSS1,#N/A,0
ER_IR_EX.STN.MW.BSG-BSS2,#N/A,0
ER_IR_EX.STN.MW.BSG-BSS3,#N/A,0
